Subject,Timestamp,SampleDate,SampleTime,TestCard,DisSource,DisTime,MarkingTxt,Aplication,EntId,Site,ExersiseId,ForceId,Category,Country,Domain,Kind,Extra,Specific,Subcategory,AltCategory,AltCountry,AltDomain,AltKind,EcefX,EcefY,EcefZ,OriPhi,OriPsi,OriTheta,LinVelX,LinVelY,LinVelZ,LinAccX,LinAccY,LinAccZ,AngVelX,AngVelY,AngVelZ,DrAlg,Apperance,Latitude,Longitude,Altitude,Heading,Pitch,Roll
613,17498312847189694,2025-06-13,16:14:44.718,NA,coresim,554081710,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-128343.11647266318,-4772182.037503015,4215813.916488319,-2.32083,-0.277829,0.220183,-0.0502163,-0.3176,0.0760526,-0.200448,-7.08424,6.77734,0.00559784,0.00458875,-0.00973822,4,0,41.63858169338755,-91.5405419808131,624.1522828323931,108.93181679262361,2.0620592179341246,0.6060483747264154
613,17498312851858977,2025-06-13,16:14:45.185,NA,coresim,554638442,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-128343.1393493549,-4772182.100797718,4215813.853111893,-2.31999,-0.277446,0.2202,-0.0572489,-0.344773,0.0457097,-0.190808,-7.08065,6.79436,-0.000750054,0.00478017,-0.005602,4,0,41.63858088477072,-91.540542234854,624.1707759935169,108.91775869739818,2.0458705372357784,0.6491362724433984
613,17498312856525910,2025-06-13,16:14:45.652,NA,coresim,555195176,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-128343.06847957746,-4772182.098874354,4215813.862535335,-2.31975,-0.276499,0.2196,-0.0287308,-0.340304,0.0520207,-0.204648,-7.0684,6.77574,0.00499863,0.00140544,-0.00610967,4,0,41.63858097107718,-91.54054138521275,624.1819321383306,108.8562915990902,2.031195517311567,0.6490985620790516
613,17498312861188563,2025-06-13,16:14:46.118,NA,coresim,555751908,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-128343.08476028673,-4772182.174179733,4215813.790989589,-2.32058,-0.277262,0.218951,-0.0380586,-0.36858,0.0221836,-0.210296,-7.08901,6.78401,-0.00639263,0.0109054,-0.00489044,4,0,41.638580036729365,-91.54054155624281,624.2116211049223,108.85881613009218,2.087758045392629,0.6109529186899305
613,17498312865523452,2025-06-13,16:14:46.552,NA,coresim,556268874,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-128342.99018309121,-4772182.073769876,4215813.87435882,-2.32213,-0.277294,0.219187,0.00194456,-0.205141,-0.0402882,-0.207595,-7.06697,6.78237,0.00408941,-0.00384598,-0.00944902,4,0,41.638581213348786,-91.54054045394903,624.1410124141737,108.8698549975895,2.079721604453957,0.5226862987706803
613,17498312870189075,2025-06-13,16:14:47.018,NA,coresim,556825608,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-128342.98502116723,-4772182.138147077,4215813.8123269705,-2.32086,-0.276933,0.219882,-0.00441396,-0.229145,-0.0657737,-0.223496,-7.08342,6.78312,0.000928986,0.00107255,0.000358903,4,0,41.638580411815205,-91.54054037124672,624.1632416058693,108.88477345785131,2.0376434574055495,0.5914257257098925
613,17498312874857540,2025-06-13,16:14:47.485,NA,coresim,557382340,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-128342.91214864937,-4772182.04420365,4215813.94052702,-2.32314,-0.276511,0.219047,0.0260156,-0.181013,-0.00950751,-0.199989,-7.07369,6.77336,-0.00507353,0.00334039,-0.00125356,4,0,41.63858184792698,-91.54053952726883,624.2076393463481,108.83380091340574,2.0535542032393095,0.45379650180872916
613,17498312879524433,2025-06-13,16:14:47.952,NA,coresim,557939072,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-128342.89926907512,-4772182.083684686,4215813.881250308,-2.32206,-0.27678,0.218768,0.0236067,-0.199235,-0.0309003,-0.204832,-7.07526,6.78889,-0.00611175,0.00330294,0.00324261,4,0,41.638581215050564,-91.54053936000685,624.1743438788035,108.83260795808845,2.075452266214904,0.5188862135765229
613,17498312884189349,2025-06-13,16:14:48.418,NA,coresim,558495806,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-128342.90178458186,-4772182.175563006,4215813.799914269,-2.32052,-0.276016,0.2188,0.0199461,-0.232363,-0.06797,-0.216196,-7.06235,6.7762,0.00672136,-0.00175914,-0.00313858,4,0,41.63858011793568,-91.54053936054113,624.2224048826366,108.80449610445334,2.043214585872059,0.5968408373349025
613,17498312888855170,2025-06-13,16:14:48.885,NA,coresim,559052538,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-128342.89000122914,-4772182.254251097,4215813.725355275,-2.31885,-0.275179,0.218645,0.0146941,-0.260778,-0.0999647,-0.228565,-7.08248,6.77574,0.00838584,0.00369826,0.00221895,4,0,41.63857914759768,-91.54053919378053,624.2519665806946,108.76572741125025,2.015406378531559,0.681017775306536
613,17498312892189106,2025-06-13,16:14:49.218,NA,coresim,559450204,AMBUSH51,1,1,48,2,1,1,225,2,1,0,0,9,1,225,2,1,-128342.89780041836,-4772182.734613305,4215814.068435113,-2.31636,-0.27662,0.21835,-0.0614911,-2.62151,2.15853,-0.228565,-7.08248,6.77574,0.00838584,0.00369826,0.00221895,4,0,41.638578582278335,-91.54053913235735,626.1777489660734,108.80906785751117,2.085465755890976,0.842714209359823
